Event,Region,Place,Location,Player Name,Deck,Engine
Regional,CA,Top 4,Managua Nicaragua,Dexter Sequeira,Yubel,Fiendsmith
Regional,CA,Top 4,Managua Nicaragua,José Espinoza,Dark World,No Engine
Regional,CA,Top 8,Managua Nicaragua,José Ñurinda,Maliss,Sky Striker
Regional,CA,Top 8,Managua Nicaragua,Emanuel Tijerino,Goblin Biker,No Engine
Regional,CA,Top 8,Managua Nicaragua,Emilio Veliz,Yubel,Fiendsmith
Regional,CA,Top 8,Managua Nicaragua,Gustavo Nuñez,Ritual Beast,Nemesis
Regional,EU,1st,Ireland Cork,Jordan Gallacher,Maliss,Sky Striker
Regional,EU,2nd,Ireland Cork,Hypnocorn Vlad,Maliss,Sky Striker
Regional,EU,Top 4,Ireland Cork,Nyon,Ryzeal,No Engine
Regional,EU,Top 4,Ireland Cork,Conor McNamara,Magical Musketeer,Fiendsmith
Regional,EU,Top 8,Ireland Cork,Declan McGuinn,Kashtira,Fiendsmith
Regional,EU,Top 8,Ireland Cork,Cormac Ward,Mimighoul,No Engine
Regional,EU,Top 8,Ireland Cork,0hgan,Kashtira,Fiendsmith
Regional,EU,Top 8,Ireland Cork,1carew1,Fire King,Kashtira
Regional,EU,1st,South Africa Cape Town,Blaine Harris,Yubel,Fiendsmith Kash
Regional,EU,2nd,South Africa Cape Town,Taariq Hassiem,Yubel,Fiendsmith Kash
Regional,EU,Top 4,South Africa Cape Town,Benjamin Linde,Invoked,Azamina FS
Regional,EU,Top 4,South Africa Cape Town,Christopher Gerber,Kashtira,Fiendsmith
Regional,EU,Top 8,South Africa Cape Town,Rimeesh Aberdeen,Yubel,Fiendsmith
Regional,EU,Top 8,South Africa Cape Town,WIllem Buekes,Drytron,No Engine
Regional,EU,Top 8,South Africa Cape Town,Dale Lee Don,Blackwing,No Engine
Regional,EU,Top 8,South Africa Cape Town,Musa Omar,Orcust,Horus
Regional,EU,1st,Spain Valencia,Francesco Ke,Fire King,Kashtira
Regional,EU,2nd,Spain Valencia,Antonio Oliva,Maliss,No Engine
Regional,EU,Top 4,Spain Valencia,Mario Martínez,Magical Musketeer,Fiendsmith
Regional,EU,Top 4,Spain Valencia,José Francisco Ricarte,Maliss,No Engine
Regional,EU,Top 8,Spain Valencia,Joan García,Ryzeal,Fiendsmith
Regional,EU,Top 8,Spain Valencia,Joaquín Leites,Goblin Biker,No Engine
Regional,EU,Top 8,Spain Valencia,Daniel López,Voiceless Voice,Dogmatika
Regional,EU,Top 8,Spain Valencia,David Santandreu,Tenpai Dragon,No Engine
Regional,EU,1st,UK Cardiff,Nicholas Crees,Ryzeal,Fiendsmith
Regional,EU,2nd,UK Cardiff,Jacob Kendrick,Maliss,Bystial
Regional,EU,Top 4,UK Cardiff,Josh Kelly,Ryzeal,Fiendsmith
Regional,EU,Top 4,UK Cardiff,James Tiffin,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Cardiff,Ahmed Mustafa,Maliss,No Engine
Regional,EU,Top 8,UK Cardiff,James Rispoli,Ryzeal,No Engine
Regional,EU,Top 8,UK Cardiff,Ben Challoner,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Cardiff,Lewis Tulodziecki,Mimighoul,Fiendsmith
Regional,EU,1st,France Saint-Etienne,Robin Vandenbrussche,Labrynth,No Engine
Regional,EU,2nd,France Saint-Etienne,Romain Rousselet,Voiceless Voice,No Engine
Regional,EU,Top 4,France Saint-Etienne,Florian Dreux,Centur-Ion,Bystial
Regional,EU,Top 4,France Saint-Etienne,Alexy Flammang,Unknown,No Engine
Regional,EU,Top 8,France Saint-Etienne,Vincent Hammouche,Maliss,Bystial
Regional,EU,Top 8,France Saint-Etienne,Thierry Garcia,Ryzeal,Fiendsmith
Regional,EU,Top 8,France Saint-Etienne,Damien Valla,Ryzeal,Fiendsmith
Regional,EU,Top 8,France Saint-Etienne,Quentin Guerin,Ryzeal,Fiendsmith
Regional,EU,1st,Italy Caserta (CE),Giovanni Barone,Ryzeal,Fiendsmith
Regional,EU,2nd,Italy Caserta (CE),Gianluca Vagnoni,Ryzeal,No Engine
Regional,EU,Top 4,Italy Caserta (CE),Ciancio Antonio Emanuele,Ryzeal,No Engine
Regional,EU,Top 4,Italy Caserta (CE),Mincione Giuseppe,Ryzeal,Fiendsmith
Regional,EU,Top 8,Italy Caserta (CE),Frosi Giuseppe,Yubel,Fiendsmith
Regional,EU,Top 8,Italy Caserta (CE),Loffredo Dario,Ryzeal,Fiendsmith
Regional,EU,Top 8,Italy Caserta (CE),Flavio Palumbo,Ryzeal,Fiendsmith
Regional,EU,Top 8,Italy Caserta (CE),Duraccio Matteo,Ryzeal,Fiendsmith
Regional,EU,1st,Italy Cecina,Pietro Dardini,Maliss,Kashtira
Regional,EU,2nd,Italy Cecina,Samuele Aouche,Ryzeal,Fiendsmith
Regional,EU,Top 4,Italy Cecina,Davide Vallero,Kashtira,Fiendsmith
Regional,EU,Top 4,Italy Cecina,Tommaso Prisco,Ryzeal,Fiendsmith
Regional,EU,Top 8,Italy Cecina,Samuele Bertini,Ryzeal,No Engine
Regional,EU,Top 8,Italy Cecina,Tommaso Spalletti,Ryzeal,Fiendsmith
Regional,EU,Top 8,Italy Cecina,Kevin Ceglia,Unknown,No Engine
Regional,EU,Top 8,Italy Cecina,Fabio Di Mascia,Ryzeal,No Engine
Regional,EU,1st,Mauritius Port Louis,Shaukat Raja,Maliss,No Engine
Regional,EU,2nd,Mauritius Port Louis,Oomar Hingun,White Forest,Azamina FS
Regional,EU,Top 4,Mauritius Port Louis,Abhilash Nuckcheddee,Floowandereeze,No Engine
Regional,EU,Top 4,Mauritius Port Louis,Dimitri Grondin,Kashtira,Fiendsmith
Regional,EU,Top 8,Mauritius Port Louis,Akhilesh Prayag,Fire King,No Engine
Regional,EU,Top 8,Mauritius Port Louis,Dylan Collet,Centur-Ion,Fiendsmith Bystial
Regional,EU,Top 8,Mauritius Port Louis,Luidialam Didier,Tenpai Dragon,Fiendsmith
Regional,EU,Top 8,Mauritius Port Louis,Shravan Conhye,Goblin Biker,No Engine
Regional,EU,1st,UK Birmingham,Ben Sherman,Maliss,Fiendsmith
Regional,EU,2nd,UK Birmingham,Kaisen Tang,Labrynth,No Engine
Regional,EU,Top 4,UK Birmingham,Ronnie Fieldsend,Yubel,Fiendsmith
Regional,EU,Top 4,UK Birmingham,Adam Nickson,Maliss,Kashtira
Regional,EU,Top 8,UK Birmingham,Alfio AI Hussainy,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Birmingham,Jacob Hodgkiss,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Birmingham,Yusuf Nisar,Tenpai Dragon,Bystial
Regional,EU,Top 8,UK Birmingham,Dale Hawkes,Labrynth,No Engine
OPEN,EU,1st,Frankfurt German,Michael Dürr ,Ryzeal,Fiendsmith
OPEN,EU,2nd,Frankfurt German,Niko Schlierkamp,Maliss,Fiendsmith
OPEN,EU,Top 4,Frankfurt German,Amelo,Ryzeal,Fiendsmith
OPEN,EU,Top 4,Frankfurt German,Rillehaller [TSG],Maliss,Sky Striker
OPEN,EU,Top 8,Frankfurt German,Tim GrÄfe,Ryzeal,Fiendsmith
OPEN,EU,Top 8,Frankfurt German,Cevin Katter,Ryzeal,No Engine
OPEN,EU,Top 8,Frankfurt German,Daniel Hartmann,Ryzeal,Fiendsmith
OPEN,EU,Top 8,Frankfurt German,Bilal Benali,Ryzeal,Fiendsmith
Regional,EU,1st,Famalicão Portugal,Jefferson douglas,Ryzeal,Fiendsmith
Regional,EU,2nd,Famalicão Portugal,Hugo magalhães,Yubel,Fiendsmith
Regional,EU,Top 4,Famalicão Portugal,david ferreira,Labrynth,Fiendsmith
Regional,EU,Top 4,Famalicão Portugal,Antonio pereira,Kashtira,Fiendsmith
Regional,EU,Top 8,Famalicão Portugal,Nuno Ribeiro,Ryzeal,Fiendsmith
Regional,EU,Top 8,Famalicão Portugal,Mário travassos,Plant Link,No Engine
Regional,EU,Top 8,Famalicão Portugal,João Mourão,Ryzeal,Fiendsmith
Regional,EU,Top 8,Famalicão Portugal,João Vieira,Maliss,No Engine
Regional,NA,1st,Pittsboro North Carolina ,Justin Chase Russell,Maliss,Fiendsmith
Regional,NA,2nd,Pittsboro North Carolina ,Hunter David Sigmon,Ryzeal,No Engine
Regional,NA,Top 4,Pittsboro North Carolina ,Jackson Leo Harvill,Maliss,Sky striker
Regional,NA,Top 4,Pittsboro North Carolina ,Arturo Maruri Jr,Maliss,Kashtira
Regional,NA,Top 8,Pittsboro North Carolina ,Brandon Patrick Weathersby,Yubel,Fiendsmith
Regional,NA,Top 8,Pittsboro North Carolina ,Jack Theodore Pugh,Memento,No Engine
Regional,NA,Top 8,Pittsboro North Carolina ,William Austin Jones,Maliss,Sky striker
Regional,NA,Top 8,Pittsboro North Carolina ,Craig Allen Washington,White Forest,Azamina FS
Regional,NA,1st,Lubbock Texas,Denny Ngo Vu,Ryzeal,Fiendsmith
Regional,NA,2nd,Lubbock Texas,Darmond Dixon,Ryzeal,No Engine
Regional,NA,Top 4,Lubbock Texas,Billy Wayne Davis,Bystial,Fiendsmith
Regional,NA,Top 4,Lubbock Texas,Christian Greathouse,Ryzeal,Fiendsmith Bystial
Regional,NA,Top 8,Lubbock Texas,Erin Thomas Medina,Ryzeal,Fiendsmith
Regional,NA,Top 8,Lubbock Texas,Cristian Jared Cloud,Ryzeal,Fiendsmith
Regional,NA,Top 8,Lubbock Texas,Eldin Hodzic,Ryzeal,Fiendsmith
Regional,NA,Top 8,Lubbock Texas,Alexander Trevino,Maliss,Sky striker
Regional,NA,1st,Little Rock Arkansas,Brett Hunter Shirley,White Forest,Azamina
Regional,NA,2nd,Little Rock Arkansas,Alexander Louis Cancel,Tenpai Dragon,Fiendsmith Kash
Regional,NA,Top 4,Little Rock Arkansas,Anthony Long Vang,Ryzeal,Fiendsmith
Regional,NA,Top 4,Little Rock Arkansas,David Deandre Golightly,Kashtira,Fiendsmith
