Event,Region,Place,Location,Player Name,Deck,Engine
Regional,SA,1st,Cali Colombia,Alejandro Rivera Caicedo,Kashtira,Fiendsmith
Regional,SA,2nd,Cali Colombia,Pablo Cesar Dominguez Lamazares,Ryzeal,Fiendsmith
Regional,SA,Top 4,Cali Colombia,Cristian Camilo Quiceno Laurente,Ryzeal,Fiendsmith
Regional,SA,Top 4,Cali Colombia,Pedro Camilo Rojas Puertas,Maliss,Fiendsmith
Regional,SA,Top 8,Cali Colombia,Diego Cifuentes Hernandez,Unknown,No Engine
Regional,SA,Top 8,Cali Colombia,Leonardo Nieto Aguirre,Voiceless Voice,No Engine
Regional,SA,Top 8,Cali Colombia,Juan Francisco Alvarez Garcia,Voiceless Voice,No Engine
Regional,SA,Top 8,Cali Colombia,Jhon Alexander Ramirez Barberi,Unknown,No Engine
Regional,CA,1st,San Pedro Sula Honduras,Nelson Andino,Maliss,Bystial
Regional,CA,2nd,San Pedro Sula Honduras,Pierre Andree Landa Valladares,Ryzeal,Fiendsmith
Regional,CA,Top 4,San Pedro Sula Honduras,Jayson Fernando Sierra Sanchez,Dragon Link,Fiendsmith Bystial
Regional,CA,Top 4,San Pedro Sula Honduras,Jose Mario Mejia Romero,Ryzeal,Fiendsmith
Regional,CA,Top 8,San Pedro Sula Honduras,Oscar Eduardo Espinoza Mendez,Ryzeal,Fiendsmith
Regional,CA,Top 8,San Pedro Sula Honduras,Andrik David Ferrufino Carranza,Ryzeal,Fiendsmith
Regional,CA,Top 8,San Pedro Sula Honduras,David Osmundo Perdomo Ochoa,Maliss,Sky striker
Regional,CA,Top 8,San Pedro Sula Honduras,Luis Arturo Hernandez Cardona,Ryzeal,Fiendsmith
Regional,CA,1st,Kingston Jamaica,Unknown,Ryzeal,Fiendsmith
Regional,CA,2nd,Kingston Jamaica,Unknown,Ryzeal,No Engine
Regional,CA,Top 4,Kingston Jamaica,Unknown,Tenpai Dragon,Fiendsmith Kash
Regional,CA,Top 4,Kingston Jamaica,Unknown,Ryzeal,Fiendsmith
Regional,CA,Top 8,Kingston Jamaica,@SummonNod,Ryzeal,Melodious
Regional,CA,Top 8,Kingston Jamaica,Unknown,Centur-Ion,Bystial
Regional,CA,Top 8,Kingston Jamaica,Unknown,Fire King,Azamina
Regional,CA,Top 8,Kingston Jamaica,Unknown,Tenpai Dragon,Fiendsmith
Regional,EU,1st,France Secondigny,Got cancelled,,
Regional,EU,2nd,France Secondigny,Got cancelled,,
Regional,EU,Top 4,France Secondigny,Got cancelled,,
Regional,EU,Top 4,France Secondigny,Got cancelled,,
Regional,EU,Top 8,France Secondigny,Got cancelled,,
Regional,EU,Top 8,France Secondigny,Got cancelled,,
Regional,EU,Top 8,France Secondigny,Got cancelled,,
Regional,EU,Top 8,France Secondigny,Got cancelled,,
Regional,EU,1st,Spain Bilbao,David Lara,Tenpai Dragon,Fiendsmith Bystial
Regional,EU,2nd,Spain Bilbao,Unknown,Unknown,No Engine
Regional,EU,Top 4,Spain Bilbao,Unknown,Unknown,No Engine
Regional,EU,Top 4,Spain Bilbao,Unknown,Unknown,No Engine
Regional,EU,Top 8,Spain Bilbao,Unknown,Unknown,No Engine
Regional,EU,Top 8,Spain Bilbao,Piqui,Memento,No Engine
Regional,EU,Top 8,Spain Bilbao,Darin Ivanov,Maliss,No Engine
Regional,EU,Top 8,Spain Bilbao,AlejandroMF (El Guardián Celta),Ryzeal,Fiendsmith
Regional,EU,1st,Belgium CHARLEROI,Tim GrÄfe,Tenpai Dragon,Fiendsmith
Regional,EU,2nd,Belgium CHARLEROI,Gabriel Soussi,Maliss,No Engine
Regional,EU,Top 4,Belgium CHARLEROI,Gabriel Huart,Tenpai Dragon,Fiendsmith
Regional,EU,Top 4,Belgium CHARLEROI,Ben Kreutzkamp,Ryzeal,No Engine
Regional,EU,Top 8,Belgium CHARLEROI,Pierre Burgals,Ryzeal,Fiendsmith
Regional,EU,Top 8,Belgium CHARLEROI,NSE Edouard T,Maliss,Kashtira
Regional,EU,Top 8,Belgium CHARLEROI,Brioche Triangulaire,Dark World,No Engine
Regional,EU,Top 8,Belgium CHARLEROI,Guillaume Maron,Fiendsmith,Bystial
Regional,EU,1st,UK Gateshead,Andrew Thwaites,Ryzeal,Fiendsmith
Regional,EU,2nd,UK Gateshead,Nick Hopper,Ryzeal,Fiendsmith
Regional,EU,Top 4,UK Gateshead,Jake Mcgee,Ryzeal,Fiendsmith
Regional,EU,Top 4,UK Gateshead,Christian William,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Gateshead,Ben Sherman,Maliss,Azamina FS
Regional,EU,Top 8,UK Gateshead,Joshua Arron Jones,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Gateshead,Callum Lawrie,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Gateshead,Jordan Ghallager,Maliss,No Engine
OPEN,EU,1st,Italy,Mario Tarantino,Tenpai Dragon,Fiendsmith
OPEN,EU,2nd,Italy,Danilo Siracusa,Ryzeal,Fiendsmith Bystial
OPEN,EU,Top 4,Italy,Vittorio Simeone,Ryzeal,Fiendsmith
OPEN,EU,Top 4,Italy,Kevin De Rosa,Maliss,No Engine
OPEN,EU,Top 8,Italy,Giovanni Barone,Ryzeal,Fiendsmith
OPEN,EU,Top 8,Italy,Francesco Simoncelli,Maliss,Tenpai Dragon
OPEN,EU,Top 8,Italy,Antonio Di Bari,Memento,No Engine
OPEN,EU,Top 8,Italy,Marco Granieri,Unknown,No Engine
Regional,NA,1st,Hartford Connecticut,Emmanuel Sinclair Rayford,Ryzeal,No Engine
Regional,NA,2nd,Hartford Connecticut,Muntashir Hossain,Maliss,Fiendsmith
Regional,NA,Top 4,Hartford Connecticut,Timothy William Roma,Unknown,No Engine
Regional,NA,Top 4,Hartford Connecticut,Grant Maxwell Goetz,Memento,Fiendsmith
Regional,NA,Top 8,Hartford Connecticut,Orlando Junior Cuadros ,Ryzeal,No Engine
Regional,NA,Top 8,Hartford Connecticut,Liem Lee Thach,Unknown,No Engine
Regional,NA,Top 8,Hartford Connecticut,Sam Shepard,Unknown,No Engine
Regional,NA,Top 8,Hartford Connecticut,Michael Armento III,Unknown,No Engine
Regional,NA,1st,Columbus Ohio,Andrew Michael Wiggins,Ryzeal,Fiendsmith
Regional,NA,2nd,Columbus Ohio,Brandon Scott McGinnis,Ryzeal,Kashtira
Regional,NA,Top 4,Columbus Ohio,Gavin Jeffrey Charlikowsky,Ryzeal,Fiendsmith Bystial
Regional,NA,Top 4,Columbus Ohio,Cody Jay Bennett Morris,Ryzeal,Fiendsmith
Regional,NA,Top 8,Columbus Ohio,Adam Luke Herring,Melodious,No Engine
Regional,NA,Top 8,Columbus Ohio,Dylan Issak,Ryzeal,Fiendsmith
Regional,NA,Top 8,Columbus Ohio,Charley Ray Futch III,Ryzeal,Fiendsmith
Regional,NA,Top 8,Columbus Ohio,Phillip Justin Tate,Ryzeal,Fiendsmith Bystial
Regional,NA,1st,Niagara Falls CAN,Adam Pruchnowski ,Ryzeal,Fiendsmith
Regional,NA,2nd,Niagara Falls CAN,Rehan Ahmed Saeed,Maliss,Bystial
Regional,NA,Top 4,Niagara Falls CAN,Emad Al Kotobe,Maliss,Bystial
Regional,NA,Top 4,Niagara Falls CAN,Steven Santoli,Ryzeal,No Engine
Regional,NA,Top 8,Niagara Falls CAN,Thomas Klemens Ruetch,Ryzeal,No Engine
Regional,NA,Top 8,Niagara Falls CAN,Matthew Jesse McRae,Ryzeal,Fiendsmith
Regional,NA,Top 8,Niagara Falls CAN,Colin Blake Goodrich,Scareclaw,Kashtira
Regional,NA,Top 8,Niagara Falls CAN,Luca Matthew Jin Soo Choi,Ryzeal,Fiendsmith
Regional,NA,1st,Vancouver BC CAN,Omid T,Kashtira,No Engine
Regional,NA,2nd,Vancouver BC CAN,Ricardo G.,Maliss,Bystial
Regional,NA,Top 4,Vancouver BC CAN,Matthew W.,Maliss,Sky Striker
Regional,NA,Top 4,Vancouver BC CAN,Victor L.,Ryzeal,Fiendsmith
Regional,NA,Top 8,Vancouver BC CAN,He Chen J.,Ryzeal,Fiendsmith
Regional,NA,Top 8,Vancouver BC CAN,Orvee C. ,Ryzeal,Fiendsmith
Regional,NA,Top 8,Vancouver BC CAN,Tianshuai L. ,Ryzeal,Fiendsmith
Regional,NA,Top 8,Vancouver BC CAN,Timothy M. ,Ryzeal,Fiendsmith
Regional,NA,1st,Des Moines Iowa,Duncan Tucker,Maliss,Sky Striker
Regional,NA,2nd,Des Moines Iowa,Dominic Furr,Maliss,Sky Striker
Regional,NA,Top 4,Des Moines Iowa,Brian Kalina,Ryzeal,Fiendsmith
Regional,NA,Top 4,Des Moines Iowa,Ryne Hanson,Ryzeal,Fiendsmith
Regional,NA,Top 8,Des Moines Iowa,Kenneth Cember,Ryzeal,Fiendsmith
Regional,NA,Top 8,Des Moines Iowa,Shawn Ravi Nigam,Fiendsmith,Bystial
Regional,NA,Top 8,Des Moines Iowa,Thomas Sherard,Fiendsmith,Bystial
Regional,NA,Top 8,Des Moines Iowa,Jesse Calvin Boyer,Memento,Fiendsmith
Regional,NA,1st,Salem Oregon,Logan Patrick Johnson,Ryzeal,Fiendsmith
Regional,NA,2nd,Salem Oregon,Cash Alexander Crites,White Forest,Fiendsmith Bystial
Regional,NA,Top 4,Salem Oregon,Edward Carlos Schumm III,Ryzeal,Fiendsmith
Regional,NA,Top 4,Salem Oregon,John Howard Hamby,Ryzeal,Fiendsmith
Regional,NA,Top 8,Salem Oregon,Joseph Tae Eung Kang,Ryzeal,Fiendsmith
Regional,NA,Top 8,Salem Oregon,Samuel Craig III,Ryzeal,Bystial
Regional,NA,Top 8,Salem Oregon,Jaydon James Evans,Tenpai Dragon,Fiendsmith
Regional,NA,Top 8,Salem Oregon,Leonard Theil Francis,Dinomorphia,No Engine
Regional,NA,1st,Lexington Remote Duel,Evan Hornick,Dinomorphia,No Engine
Regional,NA,2nd,Lexington Remote Duel,Joshua Kippenberg,Ryzeal,Fiendsmith
Regional,NA,Top 4,Lexington Remote Duel,Steven Trifunoski,Tenpai Dragon,Sky Striker
Regional,NA,Top 4,Lexington Remote Duel,Hasan U.,Memento,No Engine
Regional,NA,Top 8,Lexington Remote Duel,Albert Gao Zhou,Ryzeal,Fiendsmith
Regional,NA,Top 8,Lexington Remote Duel,Hanton Horatio Sinclair,Rescue-ACE,No Engine
Regional,NA,Top 8,Lexington Remote Duel,Franco Persano,Fiendsmith,Bystial
Regional,NA,Top 8,Lexington Remote Duel,Abudlaziz Soud Alfadhli,Maliss,Sky Striker
Regional,CA,1st,Oaxaca de Juarez Mexico,Christopher Alvarado de la O,Ryzeal,Fiendsmith
Regional,CA,2nd,Oaxaca de Juarez Mexico,Abel Rito Aragon,Ryzeal,Fiendsmith
Regional,CA,Top 4,Oaxaca de Juarez Mexico,Rodrigo Manuel Lopez Gonzales,Ryzeal,Fiendsmith
Regional,CA,Top 4,Oaxaca de Juarez Mexico,Sergio Octavio Macias Gutierrez,Ryzeal,Sharks
Regional,CA,Top 8,Oaxaca de Juarez Mexico,Cesar Giovanny Victoria Betanzos,Maliss,No Engine
Regional,CA,Top 8,Oaxaca de Juarez Mexico,Jonathan Ramirez Matuz,Maliss,Sky Striker
Regional,CA,Top 8,Oaxaca de Juarez Mexico,Lorenzo Raziel Elorza Hernandez,Ryzeal,No Engine
Regional,CA,Top 8,Oaxaca de Juarez Mexico,Sergio Alberto Vazquez Ramirez,Ryzeal,Fiendsmith
Regional,CA,1st,San Jose Costa Rica,Juan Diego Gonzales,Ryzeal,Fiendsmith
Regional,CA,2nd,San Jose Costa Rica,Adrian Chavarria,Plant Link,No Engine
Regional,CA,Top 4,San Jose Costa Rica,Gerald South,Ryzeal,Fiendsmith
Regional,CA,Top 4,San Jose Costa Rica,Joshua Artavia,Dragon Link,Bystial
Regional,CA,Top 8,San Jose Costa Rica,Kevin Martinez,Ryzeal,Fiendsmith
Regional,CA,Top 8,San Jose Costa Rica,Marcelo Vargas,Ryzeal,Fiendsmith
Regional,CA,Top 8,San Jose Costa Rica,Esteban Mena,Ryzeal,Fiendsmith
Regional,CA,Top 8,San Jose Costa Rica,Ulises Mungia,Ryzeal,Fiendsmith
Regional,SA,1st,Guayaquil Ecuador,Jhon Guerrero,Ryzeal,Fiendsmith
Regional,SA,2nd,Guayaquil Ecuador,Juan Andrade,Ryzeal,Fiendsmith
Regional,SA,Top 4,Guayaquil Ecuador,Christopher Peñafiel,Ryzeal,No Engine
Regional,SA,Top 4,Guayaquil Ecuador,Jorge Dueñas,Ryzeal,Fiendsmith
Regional,SA,Top 8,Guayaquil Ecuador,Luis David Cada Aguilera,Maliss,Sky Striker
Regional,SA,Top 8,Guayaquil Ecuador,Fabricio Bermudez,Ryzeal,No Engine
Regional,SA,Top 8,Guayaquil Ecuador,Jean Flor,Tenpai Dragon,Fiendsmith Bystial
Regional,SA,Top 8,Guayaquil Ecuador,Felix Parra,Ryzeal,No Engine
Regional,CA,1st,C.d Guatemala Guatemala,Gabriel  Alejandro Martinez Velas,Maliss,No Engine
Regional,CA,2nd,C.d Guatemala Guatemala,Aldana Cobos Roberto,Ryzeal,Fiendsmith
Regional,CA,Top 4,C.d Guatemala Guatemala,Wilfredo Antonio Avelenda Soriano,Ryzeal,Fiendsmith
Regional,CA,Top 4,C.d Guatemala Guatemala,Alberto Francisco Campaigniac,Ryzeal,Fiendsmith
Regional,CA,Top 8,C.d Guatemala Guatemala,Luis Fernando Padilla Citan,Tenpai Dragon,Fiendsmith
Regional,CA,Top 8,C.d Guatemala Guatemala,Efrain Humberto Salazar Peraza,Ryzeal,Fiendsmith
Regional,CA,Top 8,C.d Guatemala Guatemala,Jorge Reynaldo Ayla Marroquin,Floowandereeze,No Engine
Regional,CA,Top 8,C.d Guatemala Guatemala,Luis Ernesto Canales Crespin,Voiceless Voice,No Engine
Regional,EU,1st,France Chateauroux,Ilias Fassi,Maliss,Bystial
Regional,EU,2nd,France Chateauroux,Wael Jebabra,Ryzeal,Fiendsmith
Regional,EU,Top 4,France Chateauroux,Walid Ben Abbes,Chimera,Fiendsmith
Regional,EU,Top 4,France Chateauroux,Louis Ferron,Unknown,No Engine
Regional,EU,Top 8,France Chateauroux,Noah Courtois,Centur-Ion,No Engine
Regional,EU,Top 8,France Chateauroux,Arthur Tamieu,Ryzeal,Fiendsmith
Regional,EU,Top 8,France Chateauroux,Romain Mineau,Unknown,No Engine
Regional,EU,Top 8,France Chateauroux,Vincent Dai,Ryzeal,Fiendsmith
Regional,EU,1st,Germany München,Felix Pfeiffer,Ryzeal,Fiendsmith
Regional,EU,2nd,Germany München,Jonas Dankesreiter,Yubel,Fiendsmith
Regional,EU,Top 4,Germany München,Blaschke Carl Philipp,Ryzeal,No Engine
Regional,EU,Top 4,Germany München,Payne,Ryzeal,Fiendsmith
Regional,EU,Top 8,Germany München,Siddigi Azaan,Maliss,No Engine
Regional,EU,Top 8,Germany München,Aldwin Christofer,Kashtira,Fiendsmith Bystial
Regional,EU,Top 8,Germany München,Patrick Lorenz,Maliss,No Engine
Regional,EU,Top 8,Germany München,Bauer Johannes,Maliss,No Engine
Regional,EU,1st,UK Chelmsford,Khaled Kbies ,Memento,Fiendsmith
Regional,EU,2nd,UK Chelmsford,Jack Cooper,Ryzeal,Fiendsmith
Regional,EU,Top 4,UK Chelmsford,Matthew Cane,Maliss,Sky Striker
Regional,EU,Top 4,UK Chelmsford,Karan Jaspal ,Maliss,Sky Striker
Regional,EU,Top 8,UK Chelmsford,Mel Davies,Yubel,Fiendsmith Kash
Regional,EU,Top 8,UK Chelmsford,Massimiliano Lucci ,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Chelmsford,Darshan R,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Chelmsford,Joe Dunthorne,Ryzeal,No Engine
Regional,EU,1st,Italy Bergamo (BG),Alessandro Boniolo,Ryzeal,No Engine
Regional,EU,2nd,Italy Bergamo (BG),Giannoccaro Davide,Memento,Goblin Biker
Regional,EU,Top 4,Italy Bergamo (BG),Perini Ivan,Ryzeal,Fiendsmith Bystial
Regional,EU,Top 4,Italy Bergamo (BG),Marra Giuseppe,Tenpai Dragon,Fiendsmith Bystial
Regional,EU,Top 8,Italy Bergamo (BG),Benevides Marcos,Ryzeal,Fiendsmith
Regional,EU,Top 8,Italy Bergamo (BG),Papini Francesco,Ryzeal,Fiendsmith
Regional,EU,Top 8,Italy Bergamo (BG),Sessa Andrea,Ryzeal,Fiendsmith Bystial
Regional,EU,Top 8,Italy Bergamo (BG),Grassi Luca,Ryzeal,Fiendsmith
Regional,EU,1st,UK Peterborough,Josh Kelly,Maliss,Bystial
Regional,EU,2nd,UK Peterborough,Jacob Kendrick,Maliss,Fiendsmith
Regional,EU,Top 4,UK Peterborough,James Carey,Magical Musketeer,Fiendsmith
Regional,EU,Top 4,UK Peterborough,Jack Cooper,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Peterborough,Ben Challoner,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Peterborough,Teddy K,Ryzeal,No Engine
Regional,EU,Top 8,UK Peterborough,Tyler Thorn,Ryzeal,Fiendsmith
Regional,EU,Top 8,UK Peterborough,Joe Dunthorne ,Ryzeal,No Engine
Regional,EU,1st,Germany  Montabaur,Niko Schlierkamp,Ryzeal,Fiendsmith
Regional,EU,2nd,Germany  Montabaur,Elmahdi ,Ryzeal,No Engine
Regional,EU,Top 4,Germany  Montabaur,Luca Marmulla,Maliss,Fiendsmith
Regional,EU,Top 4,Germany  Montabaur,Simon He,Tenpai Dragon,Fiendsmith Bystial
Regional,EU,Top 8,Germany  Montabaur,Julius Schwarzkopf,Tenpai Dragon,Sky Striker
Regional,EU,Top 8,Germany  Montabaur,Jimbey,Maliss,Sky Striker
Regional,EU,Top 8,Germany  Montabaur,Fadil O.,Ryzeal,Fiendsmith
Regional,EU,Top 8,Germany  Montabaur,Serkan Eker,Ryzeal,Fiendsmith
Regional,EU,1st,Italy Bologna,Ifran Khan,Ryzeal,No Engine
Regional,EU,2nd,Italy Bologna,Daniele Chiarenza,Unknown,No Engine
Regional,EU,Top 4,Italy Bologna,Luigi Iorio,Memento,No Engine
Regional,EU,Top 4,Italy Bologna,Davide Garavini,Unknown,No Engine
Regional,EU,Top 8,Italy Bologna,Filippo Cusin,Maliss,Fiendsmith Bystial
Regional,EU,Top 8,Italy Bologna,Davide Vallero,Maliss,Sky Striker
Regional,EU,Top 8,Italy Bologna,Diego Ganzerli,Tenpai Dragon,Fiendsmith Bystial
Regional,EU,Top 8,Italy Bologna,Andrea Raciti,Unknown,No Engine
OPEN,EU,1st,Spain,Daniel Gutierrez,Ryzeal,No Engine
OPEN,EU,2nd,Spain,Laura Hanych,Maliss,Sky Striker
OPEN,EU,Top 4,Spain,Ricardo Couso López,Tenpai Dragon,Azamina Kash
OPEN,EU,Top 4,Spain,Omar Alejandro,Voiceless Voice,No Engine
OPEN,EU,Top 8,Spain,Juan Manuel López,Tenpai Dragon,Fiendsmith
OPEN,EU,Top 8,Spain,Andrei Brinza,Ryzeal,Fiendsmith
OPEN,EU,Top 8,Spain,Andrés García,Goblin Biker,No Engine
OPEN,EU,Top 8,Spain,Alex Yang,Ryzeal,No Engine
Regional,EU,1st,Sofia Bulgaria,Georgi Asenov,Gimmick Puppet,Horus
Regional,EU,2nd,Sofia Bulgaria,Konstantine Ivanov,Ryzeal,Fiendsmith
Regional,EU,Top 4,Sofia Bulgaria,Kostadin Kasabov,Tenpai Dragon,Bystial
Regional,EU,Top 4,Sofia Bulgaria,Stoyan Murdzhev,Tenpai Dragon,Sky Striker
Regional,EU,Top 8,Sofia Bulgaria,Yoan Gutsin,Maliss,Sky Striker
Regional,EU,Top 8,Sofia Bulgaria,Kristiyan Andreev,Thunder Dragon,Fiendsmith
Regional,EU,Top 8,Sofia Bulgaria,Nikolay Kodzhahristov,Ryzeal,Fiendsmith
Regional,EU,Top 8,Sofia Bulgaria,Nikolay Kodzhahristov,Yubel,Fiendsmith
Regional,NA,1st,Goodlettsville Tennesee,Matthew Huddleston,Ryzeal,Fiendsmith
Regional,NA,2nd,Goodlettsville Tennesee,Ronald Llopis Jr,Ryzeal,No Engine
Regional,NA,Top 4,Goodlettsville Tennesee,Daniel William Thomley,Ryzeal,Fiendsmith
Regional,NA,Top 4,Goodlettsville Tennesee,Andrew Colin Williams,Maliss,Fiendsmith
Regional,NA,Top 8,Goodlettsville Tennesee,David Deandre Golightly,Kashtira,Fiendsmith
Regional,NA,Top 8,Goodlettsville Tennesee,Matthew Keith Breeze,Maliss,No Engine
Regional,NA,Top 8,Goodlettsville Tennesee,Conner Wesley,Ryzeal,Fiendsmith
Regional,NA,Top 8,Goodlettsville Tennesee,Clifton Land,Ryzeal,Fiendsmith
Regional,NA,1st,Mobile Alabama,Ranveer Singh Uppal,Maliss,Sky striker
Regional,NA,2nd,Mobile Alabama,Nicholas Grissom,Ryzeal,Fiendsmith
Regional,NA,Top 4,Mobile Alabama,Nathan Lagrone,Ryzeal,Fiendsmith
Regional,NA,Top 4,Mobile Alabama,Zackary Brandon Lehtola,Ryzeal,Fiendsmith
Regional,NA,Top 8,Mobile Alabama,Trevor Glenn Commer,Ryzeal,Fiendsmith
Regional,NA,Top 8,Mobile Alabama,David Deandre Golightly,Kashtira,Fiendsmith
Regional,NA,Top 8,Mobile Alabama,Nicholaus Christopher Bryan Parijs,Tenpai Dragon,Sky striker
Regional,NA,Top 8,Mobile Alabama,Treaton Payne Kellner,Maliss,Bystial
Regional,NA,1st,Santa Clara Califormia,Julien Leo Kehon,Ryzeal,Fiendsmith
Regional,NA,2nd,Santa Clara Califormia,Mason William Blake,Ryzeal,Fiendsmith
Regional,NA,Top 4,Santa Clara Califormia,Brian Chen,Ryzeal,Mitsurugi
Regional,NA,Top 4,Santa Clara Califormia,Adam Joseph Hartley,Ryzeal,Fiendsmith
Regional,NA,Top 8,Santa Clara Califormia,Dylan Maxwell Graves,Maliss,Sky striker
Regional,NA,Top 8,Santa Clara Califormia,Nathan Shigeo Shimada,Ryzeal,Mitsurugi
Regional,NA,Top 8,Santa Clara Califormia,Andrew Phillip Amaro Olivo,Ryzeal,Fiendsmith
Regional,NA,Top 8,Santa Clara Califormia,Michael Park,Ryzeal,Mitsurugi
Regional,NA,1st,Minneapolis Minnesota,Andrew Michael Luebke,Ryzeal,Fiendsmith
Regional,NA,2nd,Minneapolis Minnesota,Thong Lee,Mermail,No Engine
Regional,NA,Top 4,Minneapolis Minnesota,Joseph Daniel Miskowiec,Crystron,Horus
Regional,NA,Top 4,Minneapolis Minnesota,Zohair Ismail Khan,Ryzeal,Fiendsmith
Regional,NA,Top 8,Minneapolis Minnesota,Joseph Mark Fierro,Vanquish Soul,No Engine
Regional,NA,Top 8,Minneapolis Minnesota,Caleb Lee Venegas,Ryzeal,Fiendsmith
Regional,NA,Top 8,Minneapolis Minnesota,Tristan James Reep,Ryzeal,Mitsurugi
Regional,NA,Top 8,Minneapolis Minnesota,Adam Thomas Ottoson,Tenpai Dragon,Fiendsmith Kash
Regional,NA,1st,Remote Duel CA,Rudra V Vidyasagar,Maliss,No Engine
Regional,NA,2nd,Remote Duel CA,Steven J. Trifunoski,Ryzeal,Mitsurugi
Regional,NA,Top 4,Remote Duel CA,James Allen Sun Markowitz,Ryzeal,Fiendsmith
Regional,NA,Top 4,Remote Duel CA,Abdelrahman Maher Sweiti,Maliss,Bystial
Regional,NA,Top 8,Remote Duel CA,Hanton Horatio Sinclair,Rescue-ACE,No Engine
Regional,NA,Top 8,Remote Duel CA,Alexander Vladimir Mendizabal,Unknown,No Engine
Regional,NA,Top 8,Remote Duel CA,Gabriel Hernandez Muñoz,Ryzeal,Fiendsmith
Regional,NA,Top 8,Remote Duel CA,Noah James Ochs,Ryzeal,Mitsurugi
Regional,NA,1st,Salem Oregon,Matthew William Bauer,Ryzeal,Fiendsmith Bystial
Regional,NA,2nd,Salem Oregon,Jonathan Gerena Cruz Gerena,Ryzeal,No Engine
Regional,NA,Top 4,Salem Oregon,Michael Mekeber Sarkis,Mermail,No Engine
Regional,NA,Top 4,Salem Oregon,Dominic Matthew Mangiardi,Tenpai Dragon,Fiendsmith
Regional,NA,Top 8,Salem Oregon,Griffin Carl Meier,Ryzeal,Fiendsmith Bystial
Regional,NA,Top 8,Salem Oregon,Eliseo Cole Dill,Maliss,Bystial
Regional,NA,Top 8,Salem Oregon,Jesse Alexander Tapia,Maliss,No Engine
Regional,NA,Top 8,Salem Oregon,Matthew Andrew Chell,Ryzeal,Fiendsmith
Regional,NA,1st,Richmond Virginia,Karan Sharma,Primite,Fiendsmith Bystial
Regional,NA,2nd,Richmond Virginia,Anthony Nicholas Confletti,Memento,No Engine
Regional,NA,Top 4,Richmond Virginia,Pearson Joshua Batitto,Maliss,No Engine
Regional,NA,Top 4,Richmond Virginia,Alexander Ryan Frazier,Ryzeal,Mitsurugi
Regional,NA,Top 8,Richmond Virginia,Jaime Daniel Mejia,Ryzeal,Fiendsmith
Regional,NA,Top 8,Richmond Virginia,Matthew Curtis Grooms,Maliss,Bystial
Regional,NA,Top 8,Richmond Virginia,Edward David Witol,Mermail,No Engine
Regional,NA,Top 8,Richmond Virginia,David Saul Hernandez Cordon,Ryzeal,Mitsurugi
Regional,SA,1st,Guayaquil Ecuador,Jordy David Moreira Gomez,Ryzeal,Fiendsmith
Regional,SA,2nd,Guayaquil Ecuador,Oscar Naranjo,Ryzeal,Shark
Regional,SA,Top 4,Guayaquil Ecuador,Juan Sebastian Andrade Castro,Ryzeal,Fiendsmith
Regional,SA,Top 4,Guayaquil Ecuador,Carlos Eduardo Barba Pozo,Kashtira,No Engine
Regional,SA,Top 8,Guayaquil Ecuador,Paul David Delgado Rezabala,Ryzeal,Fiendsmith
Regional,SA,Top 8,Guayaquil Ecuador,Jhonny Patricio Suarez Cedeno,Ryzeal,Fiendsmith
Regional,SA,Top 8,Guayaquil Ecuador,Anthony Javier Carrillo Vega,Ryzeal,Fiendsmith
Regional,SA,Top 8,Guayaquil Ecuador,Gustavo Raul Lucas Gomez,Maliss,Sky striker
Regional,CA,1st,Monterrey Mexico,Joan Ivan Saavedra Vidales,Ryzeal,Fiendsmith
Regional,CA,2nd,Monterrey Mexico,Edgar Gerardo Rodriguez Muñoz,White Forest,Azamina
Regional,CA,Top 4,Monterrey Mexico,Rodrigo Manuel Lopez Gonzales,Ryzeal,Fiendsmith
Regional,CA,Top 4,Monterrey Mexico,Angel Velazquez Acosta,Ryzeal,Fiendsmith
Regional,CA,Top 8,Monterrey Mexico,Arturo Iradier Monsivais Zamora,Ryzeal,No Engine
Regional,CA,Top 8,Monterrey Mexico,Juan Fernando Martinez,Ryzeal,Toy Box
Regional,CA,Top 8,Monterrey Mexico,Jesus Alejandro Ramirez Vega,Ryzeal,Mitsurugi
Regional,CA,Top 8,Monterrey Mexico,Rafael Perea Gallardos,Ryzeal,Fiendsmith Bystial
Regional,SA,1st,Trujillo Peru,Gonzalo Catacora,Ryzeal,Mitsurugi
Regional,SA,2nd,Trujillo Peru,Anaya Bermudez Santiago Andres,Ryzeal,Mitsurugi
Regional,SA,Top 4,Trujillo Peru,Alzamora Jose,White Forest,Azamina FS
Regional,SA,Top 4,Trujillo Peru,Michelle Mellet,Maliss,Fiendsmith
Regional,SA,Top 8,Trujillo Peru,Victor Manuel Gonzales Merejildo,Maliss,No Engine
Regional,SA,Top 8,Trujillo Peru,Alvaro Fernando Ponce Peralta,Ryzeal,Fiendsmith
Regional,SA,Top 8,Trujillo Peru,Jorge Luis Lengua Navarro,Ryzeal,Mitsurugi
Regional,SA,Top 8,Trujillo Peru,Renato Romero Lopez,Ryzeal,Fiendsmith
