Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Regional;CA;1st;Managua Nicaragua;Ronald Pacheco;Ryzeal;Fiendsmith;1
Regional;CA;2nd;Managua Nicaragua;Harold Icaza;Yubel;Fiendsmith;1
Regional;CA;Top 4;Managua Nicaragua;Dexter Sequeira;Yubel;Fiendsmith;1
Regional;CA;Top 4;Managua Nicaragua;José Espinoza;Dark World;No Engine;1
Regional;CA;Top 8;Managua Nicaragua;José Ñurinda;Maliss;Sky Striker;1
Regional;CA;Top 8;Managua Nicaragua;Emanuel Tijerino;Goblin Biker;No Engine;1
Regional;CA;Top 8;Managua Nicaragua;Emilio Veliz;Yubel;Fiendsmith;1
Regional;CA;Top 8;Managua Nicaragua;Gustavo Nuñez;Ritual Beast;Nemesis;1
Regional;EU;1st;Ireland Cork;Jordan Gallacher;Maliss;Sky Striker;1
Regional;EU;2nd;Ireland Cork;Hypnocorn Vlad;Maliss;Sky Striker;1
Regional;EU;Top 4;Ireland Cork;Nyon;Ryzeal;No Engine;1
Regional;EU;Top 4;Ireland Cork;Conor McNamara;Magical Musketeer;Fiendsmith;1
Regional;EU;Top 8;Ireland Cork;Declan McGuinn;Kashtira;Fiendsmith;1
Regional;EU;Top 8;Ireland Cork;Cormac Ward;Mimighoul;No Engine;1
Regional;EU;Top 8;Ireland Cork;0hgan;Kashtira;Fiendsmith;1
Regional;EU;Top 8;Ireland Cork;1carew1;Fire King;Kashtira;1
Regional;EU;1st;South Africa Cape Town;Blaine Harris;Yubel;Fiendsmith;1
Regional;EU;2nd;South Africa Cape Town;Taariq Hassiem;Yubel;Fiendsmith;1
Regional;EU;Top 4;South Africa Cape Town;Benjamin Linde;Invoked;Azamina;1
Regional;EU;Top 4;South Africa Cape Town;Christopher Gerber;Kashtira;Fiendsmith;1
Regional;EU;Top 8;South Africa Cape Town;Rimeesh Aberdeen;Yubel;Fiendsmith;1
Regional;EU;Top 8;South Africa Cape Town;WIllem Buekes;Drytron;No Engine;1
Regional;EU;Top 8;South Africa Cape Town;Dale Lee Don;Blackwing;No Engine;1
Regional;EU;Top 8;South Africa Cape Town;Musa Omar;Orcust;Horus;1
Regional;EU;1st;Spain Valencia;Francesco Ke;Fire King;Kashtira;1
Regional;EU;2nd;Spain Valencia;Antonio Oliva;Maliss;No Engine;1
Regional;EU;Top 4;Spain Valencia;Mario Martínez;Magical Musketeer;Fiendsmith;1
Regional;EU;Top 4;Spain Valencia;José Francisco Ricarte;Maliss;No Engine;1
Regional;EU;Top 8;Spain Valencia;Joan García;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;Spain Valencia;Joaquín Leites;Goblin Biker;No Engine;1
Regional;EU;Top 8;Spain Valencia;Daniel López;Voiceless Voice;Dogmatika;1
Regional;EU;Top 8;Spain Valencia;David Santandreu;Tenpai Dragon;No Engine;1
Regional;EU;1st;UK Cardiff;Nicholas Crees;Ryzeal;Fiendsmith;1
Regional;EU;2nd;UK Cardiff;Jacob Kendrick;Maliss;Bystial;1
Regional;EU;Top 4;UK Cardiff;Josh Kelly;Ryzeal;Fiendsmith;1
Regional;EU;Top 4;UK Cardiff;James Tiffin;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;UK Cardiff;Ahmed Mustafa;Maliss;No Engine;1
Regional;EU;Top 8;UK Cardiff;James Rispoli;Ryzeal;No Engine;1
Regional;EU;Top 8;UK Cardiff;Ben Challoner;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;UK Cardiff;Lewis Tulodziecki;Mimighoul;Fiendsmith;1
Regional;EU;1st;France Saint-Etienne;Robin Vandenbrussche;Labrynth;No Engine;1
Regional;EU;2nd;France Saint-Etienne;Romain Rousselet;Voiceless Voice;No Engine;1
Regional;EU;Top 4;France Saint-Etienne;Florian Dreux;Centur-Ion;Bystial;1
Regional;EU;Top 8;France Saint-Etienne;Vincent Hammouche;Maliss;Bystial;1
Regional;EU;Top 8;France Saint-Etienne;Thierry Garcia;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;France Saint-Etienne;Damien Valla;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;France Saint-Etienne;Quentin Guerin;Ryzeal;Fiendsmith;1
Regional;EU;1st;Italy Caserta (CE);Giovanni Barone;Ryzeal;Fiendsmith;1
Regional;EU;2nd;Italy Caserta (CE);Gianluca Vagnoni;Ryzeal;No Engine;1
Regional;EU;Top 4;Italy Caserta (CE);Ciancio Antonio Emanuele;Ryzeal;No Engine;1
Regional;EU;Top 4;Italy Caserta (CE);Mincione Giuseppe;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;Italy Caserta (CE);Frosi Giuseppe;Yubel;Fiendsmith;1
Regional;EU;Top 8;Italy Caserta (CE);Loffredo Dario;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;Italy Caserta (CE);Flavio Palumbo;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;Italy Caserta (CE);Duraccio Matteo;Ryzeal;Fiendsmith;1
Regional;EU;1st;Italy Cecina;Pietro Dardini;Maliss;Kashtira;1
Regional;EU;2nd;Italy Cecina;Samuele Aouche;Ryzeal;Fiendsmith;1
Regional;EU;Top 4;Italy Cecina;Davide Vallero;Kashtira;Fiendsmith;1
Regional;EU;Top 4;Italy Cecina;Tommaso Prisco;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;Italy Cecina;Samuele Bertini;Ryzeal;No Engine;1
Regional;EU;Top 8;Italy Cecina;Tommaso Spalletti;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;Italy Cecina;Fabio Di Mascia;Ryzeal;No Engine;1
Regional;EU;1st;Mauritius Port Louis;Shaukat Raja;Maliss;No Engine;1
Regional;EU;2nd;Mauritius Port Louis;Oomar Hingun;White Forest;Azamina;1
Regional;EU;Top 4;Mauritius Port Louis;Abhilash Nuckcheddee;Floowandereeze;No Engine;1
Regional;EU;Top 4;Mauritius Port Louis;Dimitri Grondin;Kashtira;Fiendsmith;1
Regional;EU;Top 8;Mauritius Port Louis;Akhilesh Prayag;Fire King;No Engine;1
Regional;EU;Top 8;Mauritius Port Louis;Dylan Collet;Centur-Ion;Fiendsmith Bystial;1
Regional;EU;Top 8;Mauritius Port Louis;Luidialam Didier;Tenpai Dragon;Fiendsmith;1
Regional;EU;Top 8;Mauritius Port Louis;Shravan Conhye;Goblin Biker;No Engine;1
Regional;EU;1st;UK Birmingham;Ben Sherman;Maliss;Fiendsmith;1
Regional;EU;2nd;UK Birmingham;Kaisen Tang;Labrynth;No Engine;1
Regional;EU;Top 4;UK Birmingham;Ronnie Fieldsend;Yubel;Fiendsmith;1
Regional;EU;Top 4;UK Birmingham;Adam Nickson;Maliss;Kashtira;1
Regional;EU;Top 8;UK Birmingham;Alfio AI Hussainy;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;UK Birmingham;Jacob Hodgkiss;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;UK Birmingham;Yusuf Nisar;Tenpai Dragon;Bystial;1
Regional;EU;Top 8;UK Birmingham;Dale Hawkes;Labrynth;No Engine;1
OPEN;EU;1st;Frankfurt German;Michael Dürr ;Ryzeal;Fiendsmith;1
OPEN;EU;2nd;Frankfurt German;Niko Schlierkamp;Maliss;Fiendsmith;1
OPEN;EU;Top 4;Frankfurt German;Amelo;Ryzeal;Fiendsmith;1
OPEN;EU;Top 4;Frankfurt German;Rillehaller [TSG];Maliss;Sky Striker;1
OPEN;EU;Top 8;Frankfurt German;Tim GrÄfe;Ryzeal;Fiendsmith;1
OPEN;EU;Top 8;Frankfurt German;Cevin Katter;Ryzeal;No Engine;1
OPEN;EU;Top 8;Frankfurt German;Daniel Hartmann;Ryzeal;Fiendsmith;1
OPEN;EU;Top 8;Frankfurt German;Bilal Benali;Ryzeal;Fiendsmith;1
Regional;EU;1st;Famalicão Portugal;Jefferson douglas;Ryzeal;Fiendsmith;1
Regional;EU;2nd;Famalicão Portugal;Hugo magalhães;Yubel;Fiendsmith;1
Regional;EU;Top 4;Famalicão Portugal;david ferreira;Labrynth;Fiendsmith;1
Regional;EU;Top 4;Famalicão Portugal;Antonio pereira;Kashtira;Fiendsmith;1
Regional;EU;Top 8;Famalicão Portugal;Nuno Ribeiro;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;Famalicão Portugal;Mário travassos;Plant Link;No Engine;1
Regional;EU;Top 8;Famalicão Portugal;João Mourão;Ryzeal;Fiendsmith;1
Regional;EU;Top 8;Famalicão Portugal;João Vieira;Maliss;No Engine;1
Regional;NA;1st;Pittsboro North Carolina ;Justin Chase Russell;Maliss;Fiendsmith;2
Regional;NA;2nd;Pittsboro North Carolina ;Hunter David Sigmon;Ryzeal;No Engine;2
Regional;NA;Top 4;Pittsboro North Carolina ;Jackson Leo Harvill;Maliss;Sky Striker;2
Regional;NA;Top 4;Pittsboro North Carolina ;Arturo Maruri Jr;Maliss;Kashtira;2
Regional;NA;Top 8;Pittsboro North Carolina ;Brandon Patrick Weathersby;Yubel;Fiendsmith;2
Regional;NA;Top 8;Pittsboro North Carolina ;Jack Theodore Pugh;Memento;No Engine;2
Regional;NA;Top 8;Pittsboro North Carolina ;William Austin Jones;Maliss;Sky Striker;2
Regional;NA;Top 8;Pittsboro North Carolina ;Craig Allen Washington;White Forest;Azamina;2
Regional;NA;1st;Lubbock Texas;Denny Ngo Vu;Ryzeal;Fiendsmith;2
Regional;NA;2nd;Lubbock Texas;Darmond Dixon;Ryzeal;No Engine;2
Regional;NA;Top 4;Lubbock Texas;Billy Wayne Davis;Bystial;Fiendsmith;2
