Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Regional;NA;1st;Lexington Remote Duel;Evan Hornick;Dinomorphia;No Engine;4
Regional;NA;2nd;Lexington Remote Duel;Shanxiao Wan;Ryzeal;No Engine;4
Regional;NA;Top 4;Lexington Remote Duel;Brandon Taylor Conrad;Maliss;Fiendsmith;4
Regional;NA;Top 8;Lexington Remote Duel;Khoa Thua Khuc;Maliss;Kashtira;4
Regional;NA;Top 8;Lexington Remote Duel;Tristan Daniel Bridges;Ryzeal;Fiendsmith;4
Regional;NA;Top 8;Lexington Remote Duel;Adam Miller;Tenpai Dragon;Fiendsmith Bystial;4
Regional;SA;1st;Cali Colombia;Alejandro Rivera Caicedo;Kashtira;Fiendsmith;4
Regional;SA;2nd;Cali Colombia;Pablo Cesar Dominguez Lamazares;Ryzeal;Fiendsmith;4
Regional;SA;Top 4;Cali Colombia;Cristian Camilo Quiceno Laurente;Ryzeal;Fiendsmith;4
Regional;SA;Top 4;Cali Colombia;Pedro Camilo Rojas Puertas;Maliss;Fiendsmith;4
Regional;SA;Top 8;Cali Colombia;Leonardo Nieto Aguirre;Voiceless Voice;No Engine;4
Regional;SA;Top 8;Cali Colombia;Juan Francisco Alvarez Garcia;Voiceless Voice;No Engine;4
Regional;CA;1st;San Pedro Sula Honduras;Nelson Andino;Maliss;Bystial;4
Regional;CA;2nd;San Pedro Sula Honduras;Pierre Andree Landa Valladares;Ryzeal;Fiendsmith;4
Regional;CA;Top 4;San Pedro Sula Honduras;Jayson Fernando Sierra Sanchez;Dragon Link;Fiendsmith Bystial;4
Regional;CA;Top 4;San Pedro Sula Honduras;Jose Mario Mejia Romero;Ryzeal;Fiendsmith;4
Regional;CA;Top 8;San Pedro Sula Honduras;Oscar Eduardo Espinoza Mendez;Ryzeal;Fiendsmith;4
Regional;CA;Top 8;San Pedro Sula Honduras;Andrik David Ferrufino Carranza;Ryzeal;Fiendsmith;4
Regional;CA;Top 8;San Pedro Sula Honduras;David Osmundo Perdomo Ochoa;Maliss;Sky Striker;4
Regional;CA;Top 8;San Pedro Sula Honduras;Luis Arturo Hernandez Cardona;Ryzeal;Fiendsmith;4
Regional;CA;1st;Kingston Jamaica;Unknown;Ryzeal;Fiendsmith;4
Regional;CA;2nd;Kingston Jamaica;Unknown;Ryzeal;No Engine;4
Regional;CA;Top 4;Kingston Jamaica;Unknown;Tenpai Dragon;Fiendsmith;4
Regional;CA;Top 4;Kingston Jamaica;Unknown;Ryzeal;Fiendsmith;4
Regional;CA;Top 8;Kingston Jamaica;@SummonNod;Ryzeal;Melodious;4
Regional;CA;Top 8;Kingston Jamaica;Unknown;Centur-Ion;Bystial;4
Regional;CA;Top 8;Kingston Jamaica;Unknown;Fire King;Azamina;4
Regional;CA;Top 8;Kingston Jamaica;Unknown;Tenpai Dragon;Fiendsmith;4
Regional;EU;1st;France Secondigny;Got cancelled;;;4
Regional;EU;2nd;France Secondigny;Got cancelled;;;4
Regional;EU;Top 4;France Secondigny;Got cancelled;;;4
Regional;EU;Top 4;France Secondigny;Got cancelled;;;4
Regional;EU;Top 8;France Secondigny;Got cancelled;;;4
Regional;EU;Top 8;France Secondigny;Got cancelled;;;4
Regional;EU;Top 8;France Secondigny;Got cancelled;;;4
Regional;EU;Top 8;France Secondigny;Got cancelled;;;4
Regional;EU;1st;Spain Bilbao;David Lara;Tenpai Dragon;Fiendsmith Bystial;4
Regional;EU;Top 8;Spain Bilbao;Piqui;Memento;No Engine;4
Regional;EU;Top 8;Spain Bilbao;Darin Ivanov;Maliss;No Engine;4
Regional;EU;Top 8;Spain Bilbao;AlejandroMF (El Guardián Celta);Ryzeal;Fiendsmith;4
Regional;EU;1st;Belgium CHARLEROI;Tim GrÄfe;Tenpai Dragon;Fiendsmith;4
Regional;EU;2nd;Belgium CHARLEROI;Gabriel Soussi;Maliss;No Engine;4
Regional;EU;Top 4;Belgium CHARLEROI;Gabriel Huart;Tenpai Dragon;Fiendsmith;4
Regional;EU;Top 4;Belgium CHARLEROI;Ben Kreutzkamp;Ryzeal;No Engine;4
Regional;EU;Top 8;Belgium CHARLEROI;Pierre Burgals;Ryzeal;Fiendsmith;4
Regional;EU;Top 8;Belgium CHARLEROI;NSE Edouard T;Maliss;Kashtira;4
Regional;EU;Top 8;Belgium CHARLEROI;Brioche Triangulaire;Dark World;No Engine;4
Regional;EU;Top 8;Belgium CHARLEROI;Guillaume Maron;Fiendsmith;Bystial;4
Regional;EU;1st;UK Gateshead;Andrew Thwaites;Ryzeal;Fiendsmith;4
Regional;EU;2nd;UK Gateshead;Nick Hopper;Ryzeal;Fiendsmith;4
Regional;EU;Top 4;UK Gateshead;Jake Mcgee;Ryzeal;Fiendsmith;4
Regional;EU;Top 4;UK Gateshead;Christian William;Ryzeal;Fiendsmith;4
Regional;EU;Top 8;UK Gateshead;Ben Sherman;Maliss;Azamina;4
Regional;EU;Top 8;UK Gateshead;Joshua Arron Jones;Ryzeal;Fiendsmith;4
Regional;EU;Top 8;UK Gateshead;Callum Lawrie;Ryzeal;Fiendsmith;4
Regional;EU;Top 8;UK Gateshead;Jordan Ghallager;Maliss;No Engine;4
OPEN;EU;1st;Italy;Mario Tarantino;Tenpai Dragon;Fiendsmith;4
OPEN;EU;2nd;Italy;Danilo Siracusa;Ryzeal;Fiendsmith Bystial;4
OPEN;EU;Top 4;Italy;Vittorio Simeone;Ryzeal;Fiendsmith;4
OPEN;EU;Top 4;Italy;Kevin De Rosa;Maliss;No Engine;4
OPEN;EU;Top 8;Italy;Giovanni Barone;Ryzeal;Fiendsmith;4
OPEN;EU;Top 8;Italy;Francesco Simoncelli;Maliss;Tenpai Dragon;4
OPEN;EU;Top 8;Italy;Antonio Di Bari;Memento;No Engine;4
Regional;NA;1st;Hartford Connecticut;Emmanuel Sinclair Rayford;Ryzeal;No Engine;5
Regional;NA;2nd;Hartford Connecticut;Muntashir Hossain;Maliss;Fiendsmith;5
Regional;NA;Top 4;Hartford Connecticut;Grant Maxwell Goetz;Memento;Fiendsmith;5
Regional;NA;Top 8;Hartford Connecticut;Orlando Junior Cuadros ;Ryzeal;No Engine;5
Regional;NA;1st;Columbus Ohio;Andrew Michael Wiggins;Ryzeal;Fiendsmith;5
Regional;NA;2nd;Columbus Ohio;Brandon Scott McGinnis;Ryzeal;Kashtira;5
Regional;NA;Top 4;Columbus Ohio;Gavin Jeffrey Charlikowsky;Ryzeal;Fiendsmith Bystial;5
Regional;NA;Top 4;Columbus Ohio;Cody Jay Bennett Morris;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Columbus Ohio;Adam Luke Herring;Melodious;No Engine;5
Regional;NA;Top 8;Columbus Ohio;Dylan Issak;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Columbus Ohio;Charley Ray Futch III;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Columbus Ohio;Phillip Justin Tate;Ryzeal;Fiendsmith Bystial;5
Regional;NA;1st;Niagara Falls CAN;Adam Pruchnowski ;Ryzeal;Fiendsmith;5
Regional;NA;2nd;Niagara Falls CAN;Rehan Ahmed Saeed;Maliss;Bystial;5
Regional;NA;Top 4;Niagara Falls CAN;Emad Al Kotobe;Maliss;Bystial;5
Regional;NA;Top 4;Niagara Falls CAN;Steven Santoli;Ryzeal;No Engine;5
Regional;NA;Top 8;Niagara Falls CAN;Thomas Klemens Ruetch;Ryzeal;No Engine;5
Regional;NA;Top 8;Niagara Falls CAN;Matthew Jesse McRae;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Niagara Falls CAN;Colin Blake Goodrich;Scareclaw;Kashtira;5
Regional;NA;Top 8;Niagara Falls CAN;Luca Matthew Jin Soo Choi;Ryzeal;Fiendsmith;5
Regional;NA;1st;Vancouver BC CAN;Omid T;Kashtira;No Engine;5
Regional;NA;2nd;Vancouver BC CAN;Ricardo G.;Maliss;Bystial;5
Regional;NA;Top 4;Vancouver BC CAN;Matthew W.;Maliss;Sky Striker;5
Regional;NA;Top 4;Vancouver BC CAN;Victor L.;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Vancouver BC CAN;He Chen J.;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Vancouver BC CAN;Orvee C. ;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Vancouver BC CAN;Tianshuai L. ;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Vancouver BC CAN;Timothy M. ;Ryzeal;Fiendsmith;5
Regional;NA;1st;Des Moines Iowa;Duncan Tucker;Maliss;Sky Striker;5
Regional;NA;2nd;Des Moines Iowa;Dominic Furr;Maliss;Sky Striker;5
Regional;NA;Top 4;Des Moines Iowa;Brian Kalina;Ryzeal;Fiendsmith;5
Regional;NA;Top 4;Des Moines Iowa;Ryne Hanson;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Des Moines Iowa;Kenneth Cember;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Des Moines Iowa;Shawn Ravi Nigam;Fiendsmith;Bystial;5
Regional;NA;Top 8;Des Moines Iowa;Thomas Sherard;Fiendsmith;Bystial;5
Regional;NA;Top 8;Des Moines Iowa;Jesse Calvin Boyer;Memento;Fiendsmith;5
Regional;NA;1st;Salem Oregon;Logan Patrick Johnson;Ryzeal;Fiendsmith;5
Regional;NA;2nd;Salem Oregon;Cash Alexander Crites;White Forest;Fiendsmith Bystial;5
Regional;NA;Top 4;Salem Oregon;Edward Carlos Schumm III;Ryzeal;Fiendsmith;5
Regional;NA;Top 4;Salem Oregon;John Howard Hamby;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Salem Oregon;Joseph Tae Eung Kang;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Salem Oregon;Samuel Craig III;Ryzeal;Bystial;5
Regional;NA;Top 8;Salem Oregon;Jaydon James Evans;Tenpai Dragon;Fiendsmith;5
Regional;NA;Top 8;Salem Oregon;Leonard Theil Francis;Dinomorphia;No Engine;5
Regional;NA;1st;Lexington Remote Duel;Evan Hornick;Dinomorphia;No Engine;5
Regional;NA;2nd;Lexington Remote Duel;Joshua Kippenberg;Ryzeal;Fiendsmith;5
Regional;NA;Top 4;Lexington Remote Duel;Steven Trifunoski;Tenpai Dragon;Sky Striker;5
Regional;NA;Top 4;Lexington Remote Duel;Hasan U.;Memento;No Engine;5
Regional;NA;Top 8;Lexington Remote Duel;Albert Gao Zhou;Ryzeal;Fiendsmith;5
Regional;NA;Top 8;Lexington Remote Duel;Hanton Horatio Sinclair;Rescue-ACE;No Engine;5
Regional;NA;Top 8;Lexington Remote Duel;Franco Persano;Fiendsmith;Bystial;5
Regional;NA;Top 8;Lexington Remote Duel;Abudlaziz Soud Alfadhli;Maliss;Sky Striker;5
Regional;CA;1st;Oaxaca de Juarez Mexico;Christopher Alvarado de la O;Ryzeal;Fiendsmith;5
Regional;CA;2nd;Oaxaca de Juarez Mexico;Abel Rito Aragon;Ryzeal;Fiendsmith;5
Regional;CA;Top 4;Oaxaca de Juarez Mexico;Rodrigo Manuel Lopez Gonzales;Ryzeal;Fiendsmith;5
Regional;CA;Top 4;Oaxaca de Juarez Mexico;Sergio Octavio Macias Gutierrez;Ryzeal;Shark;5
Regional;CA;Top 8;Oaxaca de Juarez Mexico;Cesar Giovanny Victoria Betanzos;Maliss;No Engine;5
Regional;CA;Top 8;Oaxaca de Juarez Mexico;Jonathan Ramirez Matuz;Maliss;Sky Striker;5
Regional;CA;Top 8;Oaxaca de Juarez Mexico;Lorenzo Raziel Elorza Hernandez;Ryzeal;No Engine;5
Regional;CA;Top 8;Oaxaca de Juarez Mexico;Sergio Alberto Vazquez Ramirez;Ryzeal;Fiendsmith;5
Regional;CA;1st;San Jose Costa Rica;Juan Diego Gonzales;Ryzeal;Fiendsmith;5
Regional;CA;2nd;San Jose Costa Rica;Adrian Chavarria;Plant Link;No Engine;5
Regional;CA;Top 4;San Jose Costa Rica;Gerald South;Ryzeal;Fiendsmith;5
Regional;CA;Top 4;San Jose Costa Rica;Joshua Artavia;Dragon Link;Bystial;5
Regional;CA;Top 8;San Jose Costa Rica;Kevin Martinez;Ryzeal;Fiendsmith;5
Regional;CA;Top 8;San Jose Costa Rica;Marcelo Vargas;Ryzeal;Fiendsmith;5
Regional;CA;Top 8;San Jose Costa Rica;Esteban Mena;Ryzeal;Fiendsmith;5
Regional;CA;Top 8;San Jose Costa Rica;Ulises Mungia;Ryzeal;Fiendsmith;5
Regional;SA;1st;Guayaquil Ecuador;Jhon Guerrero;Ryzeal;Fiendsmith;5
Regional;SA;2nd;Guayaquil Ecuador;Juan Andrade;Ryzeal;Fiendsmith;5
Regional;SA;Top 4;Guayaquil Ecuador;Christopher Peñafiel;Ryzeal;No Engine;5
Regional;SA;Top 4;Guayaquil Ecuador;Jorge Dueñas;Ryzeal;Fiendsmith;5
Regional;SA;Top 8;Guayaquil Ecuador;Luis David Cada Aguilera;Maliss;Sky Striker;5
Regional;SA;Top 8;Guayaquil Ecuador;Fabricio Bermudez;Ryzeal;No Engine;5
Regional;SA;Top 8;Guayaquil Ecuador;Jean Flor;Tenpai Dragon;Fiendsmith Bystial;5
Regional;SA;Top 8;Guayaquil Ecuador;Felix Parra;Ryzeal;No Engine;5
Regional;CA;1st;C.d Guatemala Guatemala;Gabriel  Alejandro Martinez Velas;Maliss;No Engine;5
Regional;CA;2nd;C.d Guatemala Guatemala;Aldana Cobos Roberto;Ryzeal;Fiendsmith;5
Regional;CA;Top 4;C.d Guatemala Guatemala;Wilfredo Antonio Avelenda Soriano;Ryzeal;Fiendsmith;5
Regional;CA;Top 4;C.d Guatemala Guatemala;Alberto Francisco Campaigniac;Ryzeal;Fiendsmith;5
Regional;CA;Top 8;C.d Guatemala Guatemala;Luis Fernando Padilla Citan;Tenpai Dragon;Fiendsmith;5
Regional;CA;Top 8;C.d Guatemala Guatemala;Efrain Humberto Salazar Peraza;Ryzeal;Fiendsmith;5
Regional;CA;Top 8;C.d Guatemala Guatemala;Jorge Reynaldo Ayla Marroquin;Floowandereeze;No Engine;5
Regional;CA;Top 8;C.d Guatemala Guatemala;Luis Ernesto Canales Crespin;Voiceless Voice;No Engine;5
Regional;EU;1st;France Chateauroux;Ilias Fassi;Maliss;Bystial;5
Regional;EU;2nd;France Chateauroux;Wael Jebabra;Ryzeal;Fiendsmith;5
Regional;EU;Top 4;France Chateauroux;Walid Ben Abbes;Chimera;Fiendsmith;5
Regional;EU;Top 8;France Chateauroux;Noah Courtois;Centur-Ion;No Engine;5
Regional;EU;Top 8;France Chateauroux;Arthur Tamieu;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;France Chateauroux;Vincent Dai;Ryzeal;Fiendsmith;5
Regional;EU;1st;Germany München;Felix Pfeiffer;Ryzeal;Fiendsmith;5
Regional;EU;2nd;Germany München;Jonas Dankesreiter;Yubel;Fiendsmith;5
Regional;EU;Top 4;Germany München;Blaschke Carl Philipp;Ryzeal;No Engine;5
Regional;EU;Top 4;Germany München;Payne;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;Germany München;Siddigi Azaan;Maliss;No Engine;5
Regional;EU;Top 8;Germany München;Aldwin Christofer;Kashtira;Fiendsmith Bystial;5
Regional;EU;Top 8;Germany München;Patrick Lorenz;Maliss;No Engine;5
Regional;EU;Top 8;Germany München;Bauer Johannes;Maliss;No Engine;5
Regional;EU;1st;UK Chelmsford;Khaled Kbies ;Memento;Fiendsmith;5
Regional;EU;2nd;UK Chelmsford;Jack Cooper;Ryzeal;Fiendsmith;5
Regional;EU;Top 4;UK Chelmsford;Matthew Cane;Maliss;Sky Striker;5
Regional;EU;Top 4;UK Chelmsford;Karan Jaspal ;Maliss;Sky Striker;5
Regional;EU;Top 8;UK Chelmsford;Mel Davies;Yubel;Fiendsmith;5
Regional;EU;Top 8;UK Chelmsford;Massimiliano Lucci ;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;UK Chelmsford;Darshan R;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;UK Chelmsford;Joe Dunthorne;Ryzeal;No Engine;5
Regional;EU;1st;Italy Bergamo (BG);Alessandro Boniolo;Ryzeal;No Engine;5
Regional;EU;2nd;Italy Bergamo (BG);Giannoccaro Davide;Memento;Goblin Biker;5
Regional;EU;Top 4;Italy Bergamo (BG);Perini Ivan;Ryzeal;Fiendsmith Bystial;5
Regional;EU;Top 4;Italy Bergamo (BG);Marra Giuseppe;Tenpai Dragon;Fiendsmith Bystial;5
Regional;EU;Top 8;Italy Bergamo (BG);Benevides Marcos;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;Italy Bergamo (BG);Papini Francesco;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;Italy Bergamo (BG);Sessa Andrea;Ryzeal;Fiendsmith Bystial;5
Regional;EU;Top 8;Italy Bergamo (BG);Grassi Luca;Ryzeal;Fiendsmith;5
Regional;EU;1st;UK Peterborough;Josh Kelly;Maliss;Bystial;5
Regional;EU;2nd;UK Peterborough;Jacob Kendrick;Maliss;Fiendsmith;5
Regional;EU;Top 4;UK Peterborough;James Carey;Magical Musketeer;Fiendsmith;5
Regional;EU;Top 4;UK Peterborough;Jack Cooper;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;UK Peterborough;Ben Challoner;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;UK Peterborough;Teddy K;Ryzeal;No Engine;5
Regional;EU;Top 8;UK Peterborough;Tyler Thorn;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;UK Peterborough;Joe Dunthorne ;Ryzeal;No Engine;5
Regional;EU;1st;Germany  Montabaur;Niko Schlierkamp;Ryzeal;Fiendsmith;5
Regional;EU;2nd;Germany  Montabaur;Elmahdi ;Ryzeal;No Engine;5
Regional;EU;Top 4;Germany  Montabaur;Luca Marmulla;Maliss;Fiendsmith;5
Regional;EU;Top 4;Germany  Montabaur;Simon He;Tenpai Dragon;Fiendsmith Bystial;5
Regional;EU;Top 8;Germany  Montabaur;Julius Schwarzkopf;Tenpai Dragon;Sky Striker;5
Regional;EU;Top 8;Germany  Montabaur;Jimbey;Maliss;Sky Striker;5
Regional;EU;Top 8;Germany  Montabaur;Fadil O.;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;Germany  Montabaur;Serkan Eker;Ryzeal;Fiendsmith;5
Regional;EU;1st;Italy Bologna;Ifran Khan;Ryzeal;No Engine;5
Regional;EU;Top 4;Italy Bologna;Luigi Iorio;Memento;No Engine;5
Regional;EU;Top 8;Italy Bologna;Filippo Cusin;Maliss;Fiendsmith Bystial;5
Regional;EU;Top 8;Italy Bologna;Davide Vallero;Maliss;Sky Striker;5
Regional;EU;Top 8;Italy Bologna;Diego Ganzerli;Tenpai Dragon;Fiendsmith Bystial;5
OPEN;EU;1st;Spain;Daniel Gutierrez;Ryzeal;No Engine;5
OPEN;EU;2nd;Spain;Laura Hanych;Maliss;Sky Striker;5
OPEN;EU;Top 4;Spain;Ricardo Couso López;Tenpai Dragon;Azamina;5
OPEN;EU;Top 4;Spain;Omar Alejandro;Voiceless Voice;No Engine;5
OPEN;EU;Top 8;Spain;Juan Manuel López;Tenpai Dragon;Fiendsmith;5
OPEN;EU;Top 8;Spain;Andrei Brinza;Ryzeal;Fiendsmith;5
OPEN;EU;Top 8;Spain;Andrés García;Goblin Biker;No Engine;5
OPEN;EU;Top 8;Spain;Alex Yang;Ryzeal;No Engine;5
Regional;EU;1st;Sofia Bulgaria;Georgi Asenov;Gimmick Puppet;Horus;5
Regional;EU;2nd;Sofia Bulgaria;Konstantine Ivanov;Ryzeal;Fiendsmith;5
Regional;EU;Top 4;Sofia Bulgaria;Kostadin Kasabov;Tenpai Dragon;Bystial;5
Regional;EU;Top 4;Sofia Bulgaria;Stoyan Murdzhev;Tenpai Dragon;Sky Striker;5
Regional;EU;Top 8;Sofia Bulgaria;Yoan Gutsin;Maliss;Sky Striker;5
Regional;EU;Top 8;Sofia Bulgaria;Kristiyan Andreev;Thunder Dragon;Fiendsmith;5
Regional;EU;Top 8;Sofia Bulgaria;Nikolay Kodzhahristov;Ryzeal;Fiendsmith;5
Regional;EU;Top 8;Sofia Bulgaria;Nikolay Kodzhahristov;Yubel;Fiendsmith;5
Regional;NA;1st;Goodlettsville Tennesee;Matthew Huddleston;Ryzeal;Fiendsmith;6
Regional;NA;2nd;Goodlettsville Tennesee;Ronald Llopis Jr;Ryzeal;No Engine;6
Regional;NA;Top 4;Goodlettsville Tennesee;Daniel William Thomley;Ryzeal;Fiendsmith;6
Regional;NA;Top 4;Goodlettsville Tennesee;Andrew Colin Williams;Maliss;Fiendsmith;6
Regional;NA;Top 8;Goodlettsville Tennesee;David Deandre Golightly;Kashtira;Fiendsmith;6
Regional;NA;Top 8;Goodlettsville Tennesee;Matthew Keith Breeze;Maliss;No Engine;6
Regional;NA;Top 8;Goodlettsville Tennesee;Conner Wesley;Ryzeal;Fiendsmith;6
Regional;NA;Top 8;Goodlettsville Tennesee;Clifton Land;Ryzeal;Fiendsmith;6
Regional;NA;1st;Mobile Alabama;Ranveer Singh Uppal;Maliss;Sky Striker;7
Regional;NA;2nd;Mobile Alabama;Nicholas Grissom;Ryzeal;Fiendsmith;7
Regional;NA;Top 4;Mobile Alabama;Nathan Lagrone;Ryzeal;Fiendsmith;7
Regional;NA;Top 4;Mobile Alabama;Zackary Brandon Lehtola;Ryzeal;Fiendsmith;7
Regional;NA;Top 8;Mobile Alabama;Trevor Glenn Commer;Ryzeal;Fiendsmith;7
Regional;NA;Top 8;Mobile Alabama;David Deandre Golightly;Kashtira;Fiendsmith;7
Regional;NA;Top 8;Mobile Alabama;Nicholaus Christopher Bryan Parijs;Tenpai Dragon;Sky Striker;7
Regional;NA;Top 8;Mobile Alabama;Treaton Payne Kellner;Maliss;Bystial;7
Regional;NA;1st;Santa Clara Califormia;Julien Leo Kehon;Ryzeal;Fiendsmith;7
Regional;NA;2nd;Santa Clara Califormia;Mason William Blake;Ryzeal;Fiendsmith;7
Regional;NA;Top 4;Santa Clara Califormia;Brian Chen;Ryzeal;Mitsurugi;7
Regional;NA;Top 4;Santa Clara Califormia;Adam Joseph Hartley;Ryzeal;Fiendsmith;7
Regional;NA;Top 8;Santa Clara Califormia;Dylan Maxwell Graves;Maliss;Sky Striker;7
Regional;NA;Top 8;Santa Clara Califormia;Nathan Shigeo Shimada;Ryzeal;Mitsurugi;7
Regional;NA;Top 8;Santa Clara Califormia;Andrew Phillip Amaro Olivo;Ryzeal;Fiendsmith;7
Regional;NA;Top 8;Santa Clara Califormia;Michael Park;Ryzeal;Mitsurugi;7
Regional;NA;1st;Minneapolis Minnesota;Andrew Michael Luebke;Ryzeal;Fiendsmith;7
Regional;NA;2nd;Minneapolis Minnesota;Thong Lee;Mermail;No Engine;7
Regional;NA;Top 4;Minneapolis Minnesota;Joseph Daniel Miskowiec;Crystron;Horus;7
Regional;NA;Top 4;Minneapolis Minnesota;Zohair Ismail Khan;Ryzeal;Fiendsmith;7
Regional;NA;Top 8;Minneapolis Minnesota;Joseph Mark Fierro;Vanquish Soul;No Engine;7
Regional;NA;Top 8;Minneapolis Minnesota;Caleb Lee Venegas;Ryzeal;Fiendsmith;7
Regional;NA;Top 8;Minneapolis Minnesota;Tristan James Reep;Ryzeal;Mitsurugi;7
Regional;NA;Top 8;Minneapolis Minnesota;Adam Thomas Ottoson;Tenpai Dragon;Fiendsmith;7
Regional;NA;1st;Remote Duel CA;Rudra V Vidyasagar;Maliss;No Engine;7
Regional;NA;2nd;Remote Duel CA;Steven J. Trifunoski;Ryzeal;Mitsurugi;7
Regional;NA;Top 4;Remote Duel CA;James Allen Sun Markowitz;Ryzeal;Fiendsmith;7
Regional;NA;Top 4;Remote Duel CA;Abdelrahman Maher Sweiti;Maliss;Bystial;7
Regional;NA;Top 8;Remote Duel CA;Hanton Horatio Sinclair;Rescue-ACE;No Engine;7
Regional;NA;Top 8;Remote Duel CA;Gabriel Hernandez Muñoz;Ryzeal;Fiendsmith;7
Regional;NA;Top 8;Remote Duel CA;Noah James Ochs;Ryzeal;Mitsurugi;7
Regional;NA;1st;Salem Oregon;Matthew William Bauer;Ryzeal;Fiendsmith Bystial;7
Regional;NA;2nd;Salem Oregon;Jonathan Gerena Cruz Gerena;Ryzeal;No Engine;7
Regional;NA;Top 4;Salem Oregon;Michael Mekeber Sarkis;Mermail;No Engine;7
Regional;NA;Top 4;Salem Oregon;Dominic Matthew Mangiardi;Tenpai Dragon;Fiendsmith;7
Regional;NA;Top 8;Salem Oregon;Griffin Carl Meier;Ryzeal;Fiendsmith Bystial;7
Regional;NA;Top 8;Salem Oregon;Eliseo Cole Dill;Maliss;Bystial;7
Regional;NA;Top 8;Salem Oregon;Jesse Alexander Tapia;Maliss;No Engine;7
Regional;NA;Top 8;Salem Oregon;Matthew Andrew Chell;Ryzeal;Fiendsmith;7
Regional;NA;1st;Richmond Virginia;Karan Sharma;Primite;Fiendsmith Bystial;7
Regional;NA;2nd;Richmond Virginia;Anthony Nicholas Confletti;Memento;No Engine;7
Regional;NA;Top 4;Richmond Virginia;Pearson Joshua Batitto;Maliss;No Engine;7
Regional;NA;Top 4;Richmond Virginia;Alexander Ryan Frazier;Ryzeal;Mitsurugi;7
Regional;NA;Top 8;Richmond Virginia;Jaime Daniel Mejia;Ryzeal;Fiendsmith;7
Regional;NA;Top 8;Richmond Virginia;Matthew Curtis Grooms;Maliss;Bystial;7
Regional;NA;Top 8;Richmond Virginia;Edward David Witol;Mermail;No Engine;7
Regional;NA;Top 8;Richmond Virginia;David Saul Hernandez Cordon;Ryzeal;Mitsurugi;7
Regional;SA;1st;Guayaquil Ecuador;Jordy David Moreira Gomez;Ryzeal;Fiendsmith;7
Regional;SA;2nd;Guayaquil Ecuador;Oscar Naranjo;Ryzeal;Shark;7
Regional;SA;Top 4;Guayaquil Ecuador;Juan Sebastian Andrade Castro;Ryzeal;Fiendsmith;7
Regional;SA;Top 4;Guayaquil Ecuador;Carlos Eduardo Barba Pozo;Kashtira;No Engine;7
Regional;SA;Top 8;Guayaquil Ecuador;Paul David Delgado Rezabala;Ryzeal;Fiendsmith;7
Regional;SA;Top 8;Guayaquil Ecuador;Jhonny Patricio Suarez Cedeno;Ryzeal;Fiendsmith;7
Regional;SA;Top 8;Guayaquil Ecuador;Anthony Javier Carrillo Vega;Ryzeal;Fiendsmith;7
Regional;SA;Top 8;Guayaquil Ecuador;Gustavo Raul Lucas Gomez;Maliss;Sky Striker;7
Regional;CA;1st;Monterrey Mexico;Joan Ivan Saavedra Vidales;Ryzeal;Fiendsmith;7
Regional;CA;2nd;Monterrey Mexico;Edgar Gerardo Rodriguez Muñoz;White Forest;Azamina;7
Regional;CA;Top 4;Monterrey Mexico;Rodrigo Manuel Lopez Gonzales;Ryzeal;Fiendsmith;7
Regional;CA;Top 4;Monterrey Mexico;Angel Velazquez Acosta;Ryzeal;Fiendsmith;7
Regional;CA;Top 8;Monterrey Mexico;Arturo Iradier Monsivais Zamora;Ryzeal;No Engine;7
Regional;CA;Top 8;Monterrey Mexico;Juan Fernando Martinez;Ryzeal;Toy Box;7
Regional;CA;Top 8;Monterrey Mexico;Jesus Alejandro Ramirez Vega;Ryzeal;Mitsurugi;7
Regional;CA;Top 8;Monterrey Mexico;Rafael Perea Gallardos;Ryzeal;Fiendsmith Bystial;7
Regional;SA;1st;Trujillo Peru;Gonzalo Catacora;Ryzeal;Mitsurugi;7
Regional;SA;2nd;Trujillo Peru;Anaya Bermudez Santiago Andres;Ryzeal;Mitsurugi;7
Regional;SA;Top 4;Trujillo Peru;Alzamora Jose;White Forest;Azamina;7
Regional;SA;Top 4;Trujillo Peru;Michelle Mellet;Maliss;Fiendsmith;7
